Make,Variant,Beam (m),Draft (m),Rigging,Displacement (kg),Sail Area (m²),Hull Materials,Sleeping Capacity,Headroom (m),Fuel Capacity (L),Water Capacity (L),Standard Engine Power (hp),LOA (m),Waterline Length (m),Fuel Type,Holding Tank Capacity (L),Keel Type
Hanse,540,5.2,2.7,Masthead sloop,21000,191.0,Fiberglass,7.0,2.15,500,800,110,16.08,14.98,Diesel,650,Shoal draft keel
Hunter,49,4.88,2.06,Masthead sloop,16190,139.4,Fiberglass,7.0,2.03,378,757,76,15.11,13.74,Diesel,208,Fin keel
Hylas,46,4.52,2.05,Masthead cutter,15650,127.3,Fiberglass,5.0,1.96,492,750,75,14.02,12.45,Diesel,200,Fin keel
Island Packet,spcruiser,4.57,1.05,Ketch,13800,86.3,Fiberglass,3.0,1.96,757,568,110,12.5,11.89,Diesel,303,Shoal draft keel
Island Packet,465,4.57,1.37,Ketch,16100,103.6,Fiberglass,6.0,1.98,757,681,75,14.26,12.19,Diesel,340,Shoal draft keel
Jeanneau,sunodyssey39i,3.88,2.04,Masthead sloop,7860,66.0,Fiberglass,6.0,1.94,130,355,40,11.86,11.18,Diesel,120,Shoal draft keel
Jeanneau,sunodyssey39ds,3.88,1.7,Masthead sloop,8280,75.0,Fiberglass,6.0,1.94,200,355,40,11.86,11.18,Diesel,120,Shoal draft keel
Jeanneau,sunodyssey39iperformance,3.88,2.065,Masthead sloop,7860,67.0,Fiberglass,6.0,1.94,130,355,40,11.86,11.18,Diesel,40,Shoal draft keel
Jeanneau,42ds,4.13,2.13,Masthead sloop,8900,77.5,Fiberglass,7.0,1.95,200,355,54,12.93,11.61,Diesel,130,Shoal draft keel
Jeanneau,sunodyssey42i,4.13,2.13,Masthead sloop,8900,80.5,Fiberglass,7.0,1.98,130,355,54,12.93,11.61,Diesel,54,Shoal draft keel
Jeanneau,sunodyssey42,4.13,1.825,Masthead sloop,9300,84.9,Fiberglass,7.0,1.98,150,355,54,12.85,11.6,Diesel,60,Shoal draft keel
Jeanneau,sunodyssey45performance,4.37,2.3,Masthead sloop,10600,118.0,Fiberglass,7.0,1.97,240,450,75,13.72,12.19,Diesel,205,Shoal draft keel
Jeanneau,sunodyssey45ds,4.37,1.85,Masthead sloop,10600,95.0,Fiberglass,7.0,1.98,240,450,75,13.75,12.19,Diesel,205,Shoal draft keel
Jeanneau,sunodyssey49i,4.49,2.15,Masthead sloop,12600,120.0,Fiberglass,8.0,1.98,240,615,76,14.98,13.96,Diesel,240,Shoal draft keel
Malo,40classicmkii,3.71,1.87,7/8 fractional sloop,10000,79.5,Fiberglass,6.0,1.91,225,415,55,12.34,10.36,Diesel,265,Fin keel
Maxi,1300,4.05,2.0,Masthead sloop,10250,92.0,Fiberglass,7.0,1.93,215,600,80,13.1,11.7,Diesel,360,Shoal draft keel
Nautor's Swan,46,4.45,2.4000000000000004,Masthead sloop,16000,121.4,Fiberglass,7.0,1.95,300,600,75,14.45,11.9,Diesel,200,Fin keel
Oyster,53,4.78,2.44,Masthead cutter,26500,181.0,Fiberglass,7.0,1.98,1200,1000,100,16.26,13.94,Diesel,160,Centre cockpit
Poncin,harmony52,4.86,2.14,Masthead sloop,15000,130.0,Fiberglass,9.0,2,340,1000,110,16.0,15.1,Diesel,250,Shoal draft keel
Rustler,42,3.96,2.16,Cutter,13500,116.0,Fiberglass,6.0,1.93,350,597,72,12.82,10.67,Diesel,210,Fin keel
Sly,42,4.18,2.4000000000000004,Masthead sloop,9500,108.0,Fiberglass,7.0,1.98,220,400,55,12.89,11.57,Diesel,200,Shoal draft keel
Sly,53,5.03,2.7,Masthead sloop,17000,217.0,Fiberglass,9.0,1.98,500,870,110,16.06,14.46,Diesel,110,Shoal draft keel
Southerly,135,4.63,1.885,Lift keel,27000,208.0,Fiberglass,7.0,2.03,900,1100,140,19.95,17.02,Diesel,300,Lift keel
Sweden Yachts,45,3.84,2.14,Masthead sloop,12000,92.0,Fiberglass,7.0,1.93,250,400,75,13.7,11.58,Diesel,240,Fin keel
Tayana,pilothouse,4.88,1.68,Cutter,22700,139.0,Fiberglass,6.0,2.01,750,1000,110,15.87,13.69,Diesel,450,Fin keel
Tayana,52ds,4.9,2.1,Ketch,23800,178.0,Fiberglass,7.0,1.98,800,950,110,16.1,13.72,Diesel,160,Shoal draft keel
